stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\Users\felipe.msilveira1\source\repos\Exult\x64\Debug\allegro5.cfg r
system   D            wsystem.c:834  maybe_parent_dir                 [   0.00000] Also searching C:\Users\felipe.msilveira1\source\repos\Exult\x64\
system   D            wsystem.c:889  _al_win_safe_load_library        [   0.00000] PathFindOnPath found: C:\Windows\system32\shcore.dll
system   D            wsystem.c:795  load_library_at_path             [   0.00000] Calling LoadLibrary C:\Windows\system32\shcore.dll
system   I            wsystem.c:798  load_library_at_path             [   0.00000] Loaded C:\Windows\system32\shcore.dll
system   I             system.c:271  al_install_system                [   0.00000] Allegro version: 5.2.8
system   D            wsystem.c:834  maybe_parent_dir                 [   0.00067] Also searching C:\Users\felipe.msilveira1\source\repos\Exult\x64\
system   D            wsystem.c:889  _al_win_safe_load_library        [   0.00113] PathFindOnPath found: C:\Windows\system32\d3d9.dll
system   D            wsystem.c:795  load_library_at_path             [   0.00125] Calling LoadLibrary C:\Windows\system32\d3d9.dll
system   I            wsystem.c:798  load_library_at_path             [   0.01212] Loaded C:\Windows\system32\d3d9.dll
d3d      I         d3d_disp.cpp:679  d3d_init_display                 [   0.11261] Render-to-texture: 1
d3d      I         d3d_disp.cpp:1780 d3d_create_display_locked        [   0.11505] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1781 d3d_create_display_locked        [   0.11522] al_display=0000025C14609F30
d3d      D         d3d_disp.cpp:1782 d3d_create_display_locked        [   0.11536] al_display->vt=0000025C12C6CE40
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.12161] found 288 format combinations
display  D   display_settings.c:214  debug_display_settings           [   0.12177] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.12191] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.12200] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.12213] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.12224] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.12236] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.12249] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.12261] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.12271] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.12282] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.12291] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.12303] Score is : 715
display  D   display_settings.c:214  debug_display_settings           [   0.12316] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.12327] Score is : 714
display  D   display_settings.c:214  debug_display_settings           [   0.12338] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.12349] Score is : 713
display  D   display_settings.c:214  debug_display_settings           [   0.12361] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.12373] Score is : 712
display  D   display_settings.c:214  debug_display_settings           [   0.12391] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.12403] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.12414] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.12425] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.12436] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.12449] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.12462] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.12473] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.12484] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.12494] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.12503] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.12517] Score is : 715
display  D   display_settings.c:214  debug_display_settings           [   0.12533] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.12543] Score is : 714
display  D   display_settings.c:214  debug_display_settings           [   0.12553] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.12563] Score is : 713
display  D   display_settings.c:214  debug_display_settings           [   0.12572] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.12583] Score is : 712
display  D   display_settings.c:214  debug_display_settings           [   0.12594] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.12604] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.12614] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.12626] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.12637] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.12648] Score is : 726
